cbo_name,parent_organization,activity_type,activity_type_other,date_of_activity,activity_end_date,advertising_end_date,total_number_of_alert_sign_ups,total_people_spoken_to,City,address,description,total_number_of_houses,how_assisted,total_number_assisted,event_name,audience_details,education_grade,activity_total_material_dist,activity_collateral_dtls,activity_social_media_chan,total_number_nudgedalerted,total_number_of_calls,total_number_of_pledge_cards,total_number_of_impressions,impression_data_accuracy_confid,total_htc_of_impressions,htc_data_accuracy_confidence,immigrants_refugees,middle_eastern_and_north_africa,homeless_individuals_and_famili,farmworkers,veterans,latinos,asian_americans_pacific_islande,african_americans,native_americans_tribal_communi,children_ages_0_5,lesbian_gay_bisexual_transgende,limited_english_proficient_indi,people_with_disabilities,seniorsolder_adults,low_broadband_subscription_rate,htc_breakdown_data_confidence,lang_arabic,lang_armenian,lang_assyrian_neo_aramaic,lang_cantonese,lang_chaldean_neo_aramaic,lang_chinese,lang_farsi,lang_filipino,lang_hindi,lang_hmong,lang_iu_mien,lang_japanese,lang_khmer,lang_korean,lang_mandarin,lang_min_nan_chinese,lang_portuguese,lang_punjabi,lang_russian,lang_spanish,lang_tagalog,lang_telugu,lang_thai,lang_ukrainian,lang_vietnamese,lang_other_info,lang_breakdown_data_confidence,funding_state_allocated,funding_county_direct,funding_acbo_direct,funding_foundation,funding_private,funding_volunteer_hours,qac_total_had_info_no_census,qac_total_completed_pc,qac_total_completed_phone,qac_total_completed_uscb_phone
Latino Health Access,Charitable Ventures,social_media,,4/1/2020,,,,,Orange,orange,Facebook Post,,,,,,,,,,,,,499,exact,90,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
CAP OC,Charitable Ventures,phone_banking,,5/18/2020,5/22/2020,,,,,"18672 e center ave, orange 92869",,,,,,,,,,,,,,59,exact,100,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asian Network,Charitable Ventures,social_media,,4/7/2020,,,,,Orange,orange,,,,,,,,,,,,,,93,exact,75,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,advertising,Posted on Social Media about the Census ,2/18/2020,,,,,,"309 n. rampart street suite a, orange, 92868",,,,,,,,,,,,,,1855,very_high,80,very_high,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,orange,,,,,,,,,,,,,,100,exact,100,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asian Network,Charitable Ventures,social_media,,4/8/2020,,,,,Orange,orange,,,,,,,,,,,,,,61,exact,75,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asian Network,Charitable Ventures,social_media,,4/9/2020,,,,,Orange,orange,,,,,,,,,,,,,,43,exact,75,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asian Network,Charitable Ventures,social_media,,4/12/2020,,,,,Orange,orange,,,,,,,,,,,,,,78,exact,75,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asian Network,Charitable Ventures,social_media,,4/14/2020,,,,,Orange,orange,Instagram Stories ,,,,,,,,,Instagram,,,,38,exact,90,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asian Network,Charitable Ventures,social_media,,4/15/2020,,,,,Orange,orange,Instagram Stories ,,,,,,,,,Instagram,,,,34,exact,90,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAVE,Charitable Ventures,flyers,,5/14/2020,,,,,,orange,,,,,,,,100,,,,,,100,medium,70,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asian Network,Charitable Ventures,social_media,,4/15/2020,,,,,Orange,orange,Shared video on South Asian Census Count,,,,,,,,,Facebook,,,,78,exact,90,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASCSC,Charitable Ventures,social_media,,4/17/2020,,,,,Orange,orange,,,,,,,,,,,,,,180,very_high,100,medium,100,,,,,50,100,,,,,100,,100,,medium,,,,,,100,,,,,,,,,100,,,,,50,,,,,,,medium,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/8/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
South Asian Network,Charitable Ventures,social_media,,4/22/2020,,,,,Orange,orange,Instagram Stories ,,,,,,,,,Instagram,,,,31,exact,90,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latino Health Access,Charitable Ventures,social_media,,4/23/2020,,,,,Orange,orange,Facebook post,,,,,,,,,,,,,327,exact,75,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,4/23/2020,,,,,Orange,orange,Facebook post,,,,,,,,,Facebook,,,,76,high,80,medium,,,,,,60,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,60,,,,,,,medium,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,social_media,,4/24/2020,,,,,Orange,orange,,,,,,,,,,,,,,275,very_high,100,medium,200,,,,,100,100,,,,,200,,,,medium,,,,,,100,,,,,,,,,100,,,,,100,,,,,,,medium,,,,,,,,,,
AASCSC,Charitable Ventures,social_media,,4/24/2020,,,,,Orange,orange,,,,,,,,,,,,,,275,very_high,100,medium,200,,,,,100,100,,,,,200,,,,medium,,,,,,100,,,,,,,,,100,,,,,100,,,,,,,medium,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/18/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,2,,exact,,,,,,,,,,
AASCSC,Charitable Ventures,social_media,,4/25/2020,,,,,Orange,orange,,,,,,,,,,,,,,130,medium,100,medium,80,,,,,50,50,,,,,50,,,,medium,,,,,,30,,,,,,,,,30,,,,,,,,,,,,medium,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,social_media,,4/25/2020,,,,,Orange,orange,,,,,,,,,,,,,,130,medium,100,medium,80,,,,,50,50,,,,,50,,,,medium,,,,,,30,,,,,,,,,30,,,,,,,,,,,,medium,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,social_media,,4/28/2020,,,,,Orange,orange,,,,,,,,,,,,,,45,very_high,100,medium,30,,,,,10,20,,,,,,,,,medium,,,,,,20,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
AASCSC,Charitable Ventures,social_media,,4/28/2020,,,,,Orange,orange,,,,,,,,,,,,,,45,very_high,100,medium,30,,,,,10,20,,,,,,,,,medium,,,,,,20,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
South Asian Network,Charitable Ventures,social_media,,4/29/2020,,,,,Orange,orange,,,,,,,,,,Instagram,,,,43,exact,90,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,4/30/2020,,,,,Orange,orange,Facebook post,,,,,,,,,Facebook,,,,78,high,80,medium,,,,,,62,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/31/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,social_media,,4/30/2020,,,,,Orange,orange,,,,,,,,,,,,,,85,very_high,100,medium,50,,,,,20,30,,,,,30,,,,medium,,,,,,30,,,,,,,,,,,,,,20,,,,,,,medium,,,,,,,,,,
AASCSC,Charitable Ventures,social_media,,4/30/2020,,,,,Orange,orange,,,,,,,,,,,,,,85,very_high,100,medium,50,,,,,20,30,,,,,30,,,,medium,,,,,,30,,,,,,,,,,,,,,20,,,,,,,medium,,,,,,,,,,
South Asian Network,Charitable Ventures,social_media,,5/1/2020,,,,,Orange,orange,,,,,,,,,,Facebook,,,,99,exact,90,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,"708 n. garfield st, santa ana 92701",,,,,,,,,,,,,,100,exact,100,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC,Charitable Ventures,phone_banking,,6/1/2020,6/30/2020,,,,,"10841 garza ave, anaheim 92804",,,,,,,,,,,,,,49,exact,100,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,social_media,,5/6/2020,,,,,Orange,orange,,,,,,,,,,,,,,275,very_high,100,medium,150,,,,,50,100,,,,,50,,,,medium,,,,,,100,,,,,,,,,100,,,,,,,,,,,,medium,,,,,,,,,,
AASCSC,Charitable Ventures,social_media,,5/6/2020,,,,,Orange,orange,,,,,,,,,,,,,,275,very_high,100,medium,150,,,,,50,100,,,,,50,,,,medium,,,,,,100,,,,,,,,,100,,,,,,,,,,,,medium,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,social_media,social media outreach and reminder of the importance of filling out the 2020 Census. Census link to fill out questionnaire.,7/30/2020,,,,,,"309 n rampart street, orange 92868",,,,,,,,,,,,,,1360,high,90,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
CAP OC ,Charitable Ventures,qac,,7/20/2020,7/24/2020,,,,,"1601 w 2nd st, santa ana, ca 92703",,,,,,,,,,,,,,77,exact,100,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,5,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,5/7/2020,,,,,Orange,orange,Facebook post,,,,,,,,,Facebook,,,,70,high,80,medium,,,,,,56,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,56,,,,,,,medium,,,,,,,,,,
Latino Health Access,Charitable Ventures,social_media,,5/8/2020,,,,,Orange,orange,Instagram Post,,,,,,,,,,,,,667,exact,75,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC Human Relations,Charitable Ventures,social_media,Videos and Post in several languages,5/11/2020,,,,,Orange,orange,,,,,,,,,,Faacebook,,,,238,high,80,high,71,98,,,5,70,70,12,,23,12,5,5,10,5,high,98,,,,,,,,,,,,,70,,,,,,70,,,,,,,high,YES,NO,NO,NO,NO,,,,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,5/12/2020,,,,,Orange,orange,Facebook Post,,,,,,,,,Facebook,,,,82,high,80,medium,,,,,,65,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,65,,,,,,,medium,,,,,,,,,,
Discovery Cube ,Charitable Ventures,social_media,,6/18/2020,6/25/2020,,,,,"2500 n main st, santa ana 92705",,,https://www.facebook.com/discoverycubeoc/posts/10156870553350881,,,,,,,,,,,1379,exact,100,exact,,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,social_media,,5/13/2020,,,,,Orange,orange,,,,,,,,,,,,,,65,very_high,100,medium,50,,,,,10,40,,,,,,,10,,medium,,,,,,30,,,,,,,,,,,,,,5,,,,,10,,medium,,,,,,,,,,
AASCSC,Charitable Ventures,social_media,,5/13/2020,,,,,Orange,orange,,,,,,,,,,,,,,65,very_high,100,medium,50,,,,,10,40,,,,,,,10,,medium,,,,,,30,,,,,,,,,,,,,,5,,,,,10,,medium,,,,,,,,,,
"Southland Integrated Services, Inc.",Charitable Ventures,advertising,2020 Census promotion by sending mailchimp to e-newsletter subscribers,3/16/2020,3/16/2020,,,,,"17150 newhope street, suite 203, fountain valley 92708",,,,,,,,,,,,,,1000,high,70,medium,700,,,,,,800,,,,,500,50,500,200,low,,100,,,,,,,,,,,,,,,,,,,,,,,800,,low,,,,,,,,,,
Latino Health Access,Charitable Ventures,media_other,Educational messages via a loudspeaker from LHA Infomovil - a van that drives to supermarkets and food distribution events and educates people via messages thru a loudspeaker.,4/3/2020,,,,,,"230 n harbor blvd, santa ana 92703",At Northgate Supermarket,,,,,,,,,,,,,30,high,100,high,,,,,,,,,,,,,,,,very_low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,5/18/2020,,,,,Orange,orange,Facebook post,,,,,,,,,Facebook,,,,75,high,80,medium,,,,,,60,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,60,,,,,,,medium,,,,,,,,,,
OC Human Relations,Charitable Ventures,social_media,post in several languages,5/18/2020,,,,,Orange,orange,,,,,,,,,,Facebook,,,,408,high,80,high,122,40,,,8,122,61,20,,40,20,8,8,16,8,high,,,,,,,,,,,,,,,,,,,,260,,,,,,,high,YES,NO,NO,NO,NO,,,,,
AASCSC,Asian American Senior Citizens Service Center,social_media,,5/18/2020,,,,,Orange,orange,,,,,,,,,,,,,,115,very_high,100,medium,80,,,,,40,50,,,,,30,,,,medium,,,,,,50,,,,,,,,,50,,,,,,,,,,,,medium,,,,,,,,,,
AASCSC,Charitable Ventures,social_media,,5/18/2020,,,,,Orange,orange,,,,,,,,,,,,,,115,very_high,100,medium,80,,,,,40,50,,,,,30,,,,medium,,,,,,50,,,,,,,,,50,,,,,,,,,,,,medium,,,,,,,,,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,5/20/2020,,,,,Orange,orange,Facebook post,,,,,,,,,Facebook,,,,72,high,80,medium,,,,,,57,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,57,,,,,,,medium,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,EDD assistance and reminding individuals to filled out the Census.,5/26/2020,6/1/2020,,,,,309 n rampart st. orange 92868,,,,,,,,,,,,,,32,very_high,90,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,social_media,,5/25/2020,,,,,Orange,orange,,,,,,,,,,,,,,60,very_high,100,medium,30,,,,,5,20,,,,,,,5,,medium,,,,,,20,,,,,,,,,,,,,,5,5,,,,5,,medium,,,,,,,,,,
AASCSC,Charitable Ventures,social_media,,5/25/2020,,,,,Orange,orange,,,,,,,,,,,,,,60,very_high,100,medium,30,,,,,5,20,,,,,,,5,,medium,,,,,,20,,,,,,,,,,,,,,5,5,,,,5,,medium,,,,,,,,,,
AASCSC,Charitable Ventures,social_media,,5/29/2020,,,,,Orange,orange,,,,,,,,,,,,,,200,very_high,100,medium,190,,,,,30,150,,,,,100,,,,medium,,,,,,100,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,social_media,,5/29/2020,,,,,Orange,orange,,,,,,,,,,,,,,200,very_high,100,medium,190,,,,,30,150,,,,,100,,,,medium,,,,,,100,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,social_media,,6/8/2020,,,,,Orange,orange,,,,,,,,,,,,,,280,very_high,100,medium,150,,,,,50,100,,,,,60,,,,medium,,,,,,80,,,,,,,,,,,,,,50,,,,,,,medium,,,,,,,,,,
AASCSC,Charitable Ventures,social_media,,6/8/2020,,,,,Orange,orange,,,,,,,,,,,,,,280,very_high,100,medium,150,,,,,50,100,,,,,60,,,,medium,,,,,,80,,,,,,,,,,,,,,50,,,,,,,medium,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,social_media,,6/12/2020,,,,,Orange,orange,,,,,,,,,,,,,,200,very_high,100,medium,100,,,,,50,50,,,,,,,,,medium,,,,,,50,,,,,,,,,,,,,,50,,,,,,,medium,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,social_media,Media outreach with link to fill out the Census ,5/19/2020,,,,,,"309 n. rampart street, orange 92868",,,,,,,,,,,,,,7637,high,70,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access California Services,Charitable Ventures,meeting,Meeting on National Arab Voter Registration Day,9/24/2020,,,,,,"631 s. brookhurst street suite 107, anaheim, ca 92804",,,,,,,,,,,,,,60,very_high,100,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access California Services,Charitable Ventures,booths,Voter Registration and Census assistance at AccessCal office,10/9/2020,,,,,,"631 s. brookhurst street suite 107, anaheim, ca 92804",,,,,,,,,,,,,,152,very_high,100,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver of the importance of census through the drive-thru food drive.,4/16/2020,,,,,,"309 n. rampart suite a, orange 92868",,,,,,,,,,,,,,224,very_high,90,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,7699 9th st. #106 buena park 90621,,,,,,,,,,,,,,100,exact,100,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AASCSC,Charitable Ventures,social_media,,6/12/2020,,,,,Orange,orange,,,,,,,,,,,,,,200,very_high,100,medium,100,,,,,50,50,,,,,,,,,medium,,,,,,50,,,,,,,,,,,,,,50,,,,,,,medium,,,,,,,,,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,6/16/2020,,,,,Orange,orange,Facebook post,,,,,,,,,facebook,,,,57,high,80,medium,,,,,,45,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,45,,,,,,,medium,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,,8/13/2020,,,,,,"1626 east 4th street, santa ana 92701",,,,,,,,,,,,,,174,exact,80,very_high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,6/18/2020,,,,,Orange,orange,Facebook post,,,,,,,,,facebook,,,,100,high,80,medium,,,,,,80,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,80,,,,,,,medium,,,,,,,,,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,6/22/2020,,,,,Orange,orange,Facebook post,,,,,,,,,Facebook,,,,87,high,80,medium,,,,,,69,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,69,,,,,,,medium,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,social_media,Social Media outreach with link to fill out the Census ,6/1/2020,,,,,,"309 n rampart, orange, 92848",,,,,,,,,,,,,,1436,very_high,90,very_high,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OC Human Relations,Charitable Ventures,social_media,,6/29/2020,,,,,Orange,orange,,,,,,,,,,Facebook,,,,337,high,80,high,101,33,,,6,101,50,17,,33,33,6,6,12,6,medium,,,,,,,,,,,,,,,,,,,,130,,,,,,,high,YES,NO,NO,NO,NO,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,6/5/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,6/30/2020,,,,,Orange,orange,Facebook post,,,,,,,,,Facebook,,,,153,high,80,medium,,,,,,122,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,122,,,,,,,medium,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,4/24/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,7/13/2020,,,,,Orange,orange,Facebook post,,,,,,,,,Facebook,,,,64,high,80,medium,,,,,,51,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,51,,,,,,,medium,,,,,,,,,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,7/14/2020,,,,,Orange,orange,Facebook post,,,,,,,,,Facebook,,,,75,high,80,medium,,,,,,60,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,60,,,,,,,medium,,,,,,,,,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,7/15/2020,,,,,Orange,orange,Facebook post,,,,,,,,,Facebook,,,,65,high,80,medium,,,,,,52,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,52,,,,,,,medium,,,,,,,,,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,7/16/2020,,,,,Orange,orange,Facebook post,,,,,,,,,Facebook,,,,61,high,80,medium,,,,,,48,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,48,,,,,,,medium,,,,,,,,,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,7/20/2020,,,,,Orange,orange,Facebook post,,,,,,,,,Facebook,,,,75,high,80,medium,,,,,,60,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,60,,,,,,,medium,,,,,,,,,,
OC Herald Center,Charitable Ventures,flyers,Census Email Campaign  - Master List,5/21/2020,,,,,,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,866,medium,100,medium,,,,,,,866,,,,,,,,,medium,,,,,,866,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,12 w cypress st anaheim 92805,,,,,,,,,,,,,,100,exact,100,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,10591 flower st. stanton 90680,,,,,,,,,,,,,,100,exact,100,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,7/23/2020,,,,,Orange,orange,Facebook post,,,,,,,,,Facebook,,,,60,high,80,medium,,,,,,48,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,48,,,,,,,medium,,,,,,,,,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,7/27/2020,,,,,Orange,orange,Facebook post,,,,,,,,,,,,,64,high,80,medium,,,,,,51,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,51,,,,,,,medium,,,,,,,,,,
OC Human Relations,Charitable  Ventures,social_media,,7/27/2020,,,,,Orange,orange,,,,,,,,,,Facebook,,,,267,high,80,high,80,27,,,53,67,40,13,,27,27,5,5,10,5,medium,,,,,,,,,,,,,,,,,,,,267,,,,,,,high,YES,NO,NO,NO,NO,,,,,
Latino Health Access,Charitable Ventures,social_media,,4/6/2020,,,,,,orange,Instagram Story,,,,,,,,,,,,,340,exact,90,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Healthy Nail Salon Collaborative,Charitable Ventures,social_media,,7/9/2020,,,,,,statewide,"A Humans of Census post about John, who works at a Federally-Qualified Health Center in Little Saigon, Orange County, that provides medical services to a largely Vietnamese and Latinx clientele. The caption explains how Census data decides funding for FQHCs, as well as maps projections on where additional FQHCs should be built. A link to fill out a digital pledge card is included.",,,,,,,,,,,,,196,medium,75,medium,100,15,,,7,15,120,15,15,,70,,30,5,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
The Cambodian Family,Charitable Ventures,social_media,Khmer TV Census Poem - ENG,7/27/2020,,,,,Orange,orange,,,,,,,,,,,,,,1500,high,90,very_high,1350,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Community Health Initiative of Orange County,Charitable Ventures,social_media,,8/3/2020,8/9/2020,,,,Orange,orange,"Phone Bank calls made to our Clients who we have conducted caremanagement to. During the COVID-19 ""better at home"" rule we are reaching out to our clients via phone only",,,,,,,,,,,,,96,high,80,medium,,,,,,76,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,76,,,,,,,medium,,,,,,,,,,
OC Human Relations,Charitable Ventures,social_media,,9/21/2020,,,,,Orange,orange,,,,,,,,,,Facebook,,,,301,medium,80,high,90,30,,,6,75,45,15,,30,30,6,6,12,6,high,,,,,,,,,,,,,,,,,,,,90,,,,,,,high,YES,NO,NO,NO,NO,,,,,
CAIR-LA,Charitable Ventures,social_media,Social media and newsletter,10/15/2020,10/16/2020,10/16/2020,,,Orange,orange,"Social media and email blast to community members who follow and/are subscribed to the email list serv.  On average, at least 300 HUNDRED FAMILIES are contacted.",,,,,,,,,,,,,1000,high,95,medium,,,,,,,,,,,,,,,,medium,40,,,,,,,20,40,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
CAIR-LA,Charitable Ventures,social_media,Social media and newsletter,10/16/2020,10/16/2020,10/16/2020,,,Orange,orange,"Social media and email blast to community members who follow and/are subscribed to the email list serv.  On average, at least 300 HUNDRED FAMILIES are contacted.",,,,,,,,,,,,,1000,high,95,medium,,,,,,,,,,,,,,,,medium,40,,,,,,,20,40,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
The Cambodian Family ,Charitable Ventures,social_media,,3/13/2020,,,,,Santa Ana,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,69,exact,85,very_high,57,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,1457 e. romneya dr. anaheim 92805,,,,,,,,,,,,,,100,exact,100,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cambodian Family ,Charitable Ventures,social_media,,3/27/2020,,,,,Santa Ana,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,50,exact,85,very_high,43,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
The Cambodian Family ,Charitable Ventures,social_media,,4/2/2020,,,,,Santa Ana,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,28,exact,85,very_high,24,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
